Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","508","Mozambique","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","31178.239","X","Figure from international organizations",""
"OA","Annual population","104","Myanmar","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","53423.198","X","Figure from international organizations",""
"OA","Annual population","516","Namibia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","2489.098","X","Figure from international organizations",""
"OA","Annual population","520","Nauru","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","12.315","X","Figure from international organizations",""
"OA","Annual population","524","Nepal","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","29348.627","X","Figure from international organizations",""
"OA","Annual population","528","Netherlands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","17434.557","X","Figure from international organizations",""
"OA","Annual population","540","New Caledonia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","286.403","X","Figure from international organizations",""
"OA","Annual population","554","New Zealand","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","5061.133","X","Figure from international organizations",""
"OA","Annual population","558","Nicaragua","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","6755.895","X","Figure from international organizations",""
"OA","Annual population","562","Niger","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","24333.639","X","Figure from international organizations",""
"OA","Annual population","566","Nigeria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","208327.405","X","Figure from international organizations",""
"OA","Annual population","570","Niue","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","1.942","X","Figure from international organizations",""
"OA","Annual population","807","North Macedonia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","2111.072","X","Figure from international organizations",""
"OA","Annual population","580","Northern Mariana Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","49.587","X","Figure from international organizations",""
"OA","Annual population","578","Norway","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","5379.839","X","Figure from international organizations",""
"OA","Annual population","512","Oman","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","4543.399","X","Figure from international organizations",""
"OA","Annual population","586","Pakistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","227196.741","X","Figure from international organizations",""
"OA","Annual population","585","Palau","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","17.972","X","Figure from international organizations",""
"OA","Annual population","275","Palestine","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","5019.401","X","Figure from international organizations",""
"OA","Annual population","591","Panama","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","4294.396","X","Figure from international organizations",""
"OA","Annual population","598","Papua New Guinea","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","9749.64","X","Figure from international organizations",""
"OA","Annual population","600","Paraguay","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","6618.695","X","Figure from international organizations",""
"OA","Annual population","604","Peru","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","33304.756","X","Figure from international organizations",""
"OA","Annual population","608","Philippines","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","112190.977","X","Figure from international organizations",""
"OA","Annual population","616","Poland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","38428.366","X","Figure from international organizations",""
"OA","Annual population","620","Portugal","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","10298.192","X","Figure from international organizations",""
"OA","Annual population","630","Puerto Rico","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","3271.564","X","Figure from international organizations",""
"OA","Annual population","634","Qatar","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","2760.385","X","Figure from international organizations",""
"OA","Annual population","410","Republic of Korea","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","51844.69","X","Figure from international organizations",""
"OA","Annual population","498","Republic of Moldova","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","3084.847","X","Figure from international organizations",""
"OA","Annual population","638","Réunion","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","957.822","X","Figure from international organizations",""
"OA","Annual population","642","Romania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","19442.038","X","Figure from international organizations",""
"OA","Annual population","643","Russian Federation","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","145617.329","X","Figure from international organizations",""
"OA","Annual population","646","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","13146.362","X","Figure from international organizations",""
"OA","Annual population","652","Saint Barthélemy","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","10.681","X","Figure from international organizations",""
"OA","Annual population","654","Saint Helena, Ascension and Tristan da Cunha","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","5.42","X","Figure from international organizations",""
"OA","Annual population","659","Saint Kitts and Nevis","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","47.642","X","Figure from international organizations",""
"OA","Annual population","662","Saint Lucia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","179.237","X","Figure from international organizations",""
"OA","Annual population","666","Saint Pierre and Miquelon","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","5.906","X","Figure from international organizations",""
